,core_id,game_title,group_survey,group_review,score_1,score_2,score_3,score_4,score_5,score_6,score_7
0,1,World of Warcraft,5,5,0.018553255,0.207031432,0.032928959,0.123324306,0.597309295,0.00830471,0.012548042
1,2,Tekken 2,4,4,0.018264099,0.009182751,0.088119258,0.759110572,0.103783719,0.019455533,0.002084069
2,3,Pokemon Red and Blue,1,1,0.574581168,0.067621346,0.169805522,0.055218383,0.125546781,0.003660026,0.003566775
3,4,Diablo III,5,5,0.030051555,0.074333379,0.001796282,0.065411488,0.774822994,0.051115517,0.002468786
4,5,The Legend of Zelda: Ocarina of Time,5,5,0.004524094,0.156739697,0.000384146,0.11121251,0.726059904,0.00032512,0.000754529
5,6,Final Fantasy VIII,5,5,0.016059358,0.055237978,0.068854432,0.022894389,0.809564691,0.018220938,0.009168214
6,7,Counter-Strike,7,7,0.006929907,0.002806008,0.000974537,0.011132065,0.001494902,0.047516226,0.929146354
7,8,Tony Hawk's Pro Skater,4,4,0.038583834,0.143092465,0.2187887,0.518152694,0.050688004,0.025978172,0.004716131
8,9,The Sims III,2,2,0.00941657,0.800255705,0.044191727,0.029464122,0.072385814,0.032686408,0.011599654
9,10,Halo 3,7,7,0.004781322,0.091405788,0.099601444,0.043987823,0.168251832,0.062791521,0.52918027
10,11,RollerCoaster Tycoon,2,2,0.007834461,0.627403143,0.006704293,0.268100834,0.003202579,0.073826718,0.012927972
11,12,Need for Speed: Underground,5,4,0.009866514,0.150359734,0.014784129,0.381204868,0.305724279,0.116171743,0.021888734
12,13,Mario Party DS,1,1,0.231899403,0.017464775,0.327036124,0.29237942,0.112347061,0.01239669,0.006476526
13,14,Nintendogs,2,2,0.026072859,0.714534014,0.195728251,0.026547822,0.02481303,0.002088015,0.010216008
14,15,Civilization V,4,4,0.144213233,0.139392168,0.001772448,0.425209061,0.155255945,0.120827123,0.013330022
15,16,Minecraft,2,2,0.008125206,0.703090016,0.0051023,0.134375208,0.096138737,0.015351194,0.037817339
16,17,Angry Birds,1,1,0.556882607,0.089451887,0.05821506,0.187041083,0.019835493,0.003504842,0.085069028
17,18,Fifa 16,3,3,0.024077364,0.000474452,0.967878699,0.00743097,7.19546E-05,2.4765E-05,4.1796E-05
18,19,Mario Kart Wii,3,3,0.058927157,0.011128993,0.329682287,0.356466419,0.238216512,0.000337711,0.005240921
19,20,New Super Mario Bros,4,4,0.105663314,0.100850582,0.137615662,0.585467645,0.060399985,0.005563747,0.004439064
20,21,Grand Theft Auto V,4,5,0.002103536,0.176656662,0.023680013,0.305540032,0.319697407,0.017735146,0.154587205
21,22,Call of Duty: Black Ops,7,7,0.005429882,0.024283852,0.127536336,0.14601427,0.011134941,0.171807698,0.51379302
22,23,Wii Play,3,3,0.112453592,0.154744584,0.380674738,0.21087048,0.112635171,0.008151502,0.020469932
23,24,Half-Life 2,7,7,0.028924308,0.250223279,0.143049707,0.150749143,0.070333632,0.103191657,0.253528275
24,25,Resident Evil 5,6,5,0.021418834,0.049024261,0.014367896,0.1347746,0.53674527,0.068974052,0.174695087
25,26,League of Legends,2,1,0.273913982,0.122118415,0.137125881,0.087192124,0.231350601,0.07110058,0.077198416
26,27,Gran Turismo 3: A-Spec,4,5,0.008276094,0.049593162,0.168731817,0.147244788,0.541738776,0.002042104,0.082373259
27,28,Donkey Kong Country Returns,4,4,0.160187782,0.078708025,0.194837889,0.530342892,0.021195749,0.008527837,0.006199825
28,29,Star Wars: Battlefront,7,7,0.058876605,0.022154829,0.002734335,0.114092053,0.083244775,0.07327259,0.645624814
29,30,The Elder Scrolls V: Skyrim,5,5,0.018688696,0.065795144,0.032529103,0.021632827,0.73599101,0.119464217,0.005899004
30,31,Brain Age: Train Your Brain in Minutes a Day,3,3,0.309755807,0.239812603,0.409203612,0.005541366,0.030664995,0.00264953,0.002372086
31,32,StarCraft II: Wings of Liberty,6,6,0.085156398,0.01164275,0.11012877,0.184883338,0.021306292,0.507678524,0.079203928
32,33,Just Dance 3,3,3,0.115976082,0.006593922,0.641656513,0.226408663,0.0079644,0.000821628,0.000578792
33,34,Kingdom Hearts,5,5,0.104501146,0.051019888,0.150301414,0.085290192,0.577778911,0.027667769,0.003440681
34,35,Dragon Quest VIII: Journey of the Cursed King,5,5,0.28334024,0.026615496,0.011698297,0.024485203,0.613204196,0.035137062,0.005519507
35,36,Animal Crossing: New Leaf,2,2,0.00096561,0.811984644,0.093070188,0.045348739,0.047445672,0.000447177,0.00073797
36,37,Guitar Hero III: Legends of Rock,1,3,0.337795599,0.022191187,0.445959253,0.12687916,0.039122507,0.008582396,0.0194699
37,38,LittleBigPlanet,2,2,0.022565498,0.585703516,0.023938008,0.23794179,0.033984828,0.031319042,0.064547318
38,39,God of War III,5,5,0.044241686,0.028268929,0.024523028,0.201528436,0.578817594,0.041549413,0.081070915
39,40,Madden NFL 06,3,3,0.043265657,0.087822948,0.631418284,0.08317709,0.073304156,0.036499587,0.044512279
40,41,The Last of Us,5,4,0.016028471,0.003498534,0.004285469,0.095061428,0.638726475,0.086176528,0.156223096
41,42,Splatoon,4,7,0.022900315,0.042981564,0.084552214,0.420195493,0.018516665,0.126229786,0.284623963
42,43,Wii Fit,3,1,0.049676655,0.040919953,0.886684311,0.010047576,0.007078262,0.002759879,0.002833363
43,44,Warcraft II: Tides of Darkness,6,5,0.228079174,0.256334886,0.008057883,0.128228084,0.117483108,0.221212847,0.040604019
44,45,Monster Hunter Freedom Unite,5,2,0.145396943,0.036177261,0.034870894,0.120917091,0.636876914,0.015620667,0.01014023
45,46,Professor Layton and the Curious Village,2,2,0.071881894,0.546576073,0.178179497,0.014957825,0.178888753,0.007557662,0.001958296
46,47,Pokemon GO,4,1,0.359417803,0.208273938,0.274386331,0.016061067,0.136714776,0.003447251,0.001698835
47,48,Candy Crush Saga,1,1,0.660868432,0.231071413,0.077735769,0.024291559,0.005831669,2.69701E-05,0.000174188
48,49,Clash of Clans,1,4,0.221590664,0.102884734,0.038443231,0.255148538,0.121391221,0.215062504,0.045479107
49,50,Hearthstone,1,1,0.622807571,0.02213561,0.00456106,0.134647467,0.108573396,0.018913152,0.088361743
